year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2010,14240,39,401,1,1,1,13559,2009
2009,14240,38,786,1,0,-1,14176,-1
2010,14245,48,702,1,1,1,14338,2009
2009,14245,47,744,1,0,-1,14086,-1
2009,14252,21,1605,1,0,-1,16524,-1
2009,14252,50,881,1,1,0,14455,2009
2010,14292,35,2023,0,1,1,17922,2009
2009,14292,34,2045,0,0,-1,17818,-1
2011,14293,28,525,0,1,2,13093,2009
2009,14293,26,1274,0,0,-1,15577,-1
2013,14294,44,203,1,1,4,11627,2009
2014,14294,45,405,1,2,1,13526,2013
2009,14294,40,132,1,0,-1,11772,-1
2009,14296,30,1283,0,0,-1,15600,-1
2010,14296,31,904,0,1,1,15025,2009
2012,14297,47,3096,1,1,3,18980,2009
2009,14297,44,1525,1,0,-1,16300,-1
2014,14300,34,90,1,3,2,11777,2012
2009,14300,29,121,1,0,-1,11709,-1
2012,14300,32,38,1,2,1,10694,2011
2011,14300,31,75,1,1,2,11084,2009
2011,14312,45,352,1,1,2,12499,2009
2009,14312,43,279,1,0,-1,12606,-1
2010,14313,50,617,1,1,1,14140,2009
2009,14313,49,569,1,0,-1,13614,-1
2011,14314,40,796,0,2,1,13768,2010
2013,14314,42,2834,0,3,2,14915,2011
2009,14314,38,1550,0,0,-1,16368,-1
2010,14314,39,866,0,1,1,14915,2009
2009,14319,39,2395,0,0,-1,19573,-1
2010,14319,40,2319,0,1,1,19121,2009
2012,14323,52,1293,1,1,3,15061,2009
2009,14323,49,1043,1,0,-1,14982,-1
2009,14327,26,249,1,0,-1,12530,-1
2010,14327,27,123,1,1,1,12000,2009
2009,14337,50,136,1,0,-1,11811,-1
2010,14337,51,90,1,1,1,11637,2009
2011,14340,36,21,1,1,2,9935,2009
2009,14340,34,47,1,0,-1,10912,-1
2010,14344,53,2354,0,1,1,19274,2009
2009,14344,52,2298,0,0,-1,19027,-1
2012,14344,55,2873,0,2,2,18316,2010
2009,14347,40,1017,0,0,-1,14920,-1
2010,14347,41,959,0,1,1,15176,2009
2009,14355,37,1820,0,0,-1,17097,-1
2013,14355,41,3248,0,1,4,15174,2009
2014,14358,54,2057,0,2,4,17465,2010
2010,14358,50,2156,0,1,1,18372,2009
2009,14358,49,2358,0,0,-1,19381,-1
2009,14359,42,2517,1,0,-1,20350,-1
2010,14359,43,2153,1,1,1,18357,2009
2009,14360,43,1010,1,0,-1,14908,-1
2013,14360,47,3436,1,1,4,15278,2009
2010,14361,45,1744,0,1,1,17127,2009
2009,14361,43,2037,0,0,-1,17794,-1
2010,14365,21,433,0,1,1,13691,2009
